股票名称,周期,时间,strategy_id,strategy_name,strategy_mode,strategy_status,是否命中,trigger_bar,reason,推送状态,图
CORD,2h,2026-03-08 13:09:14,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CORD,2h,2026-03-08 13:09:14,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
CORD,2h,2026-03-08 13:09:14,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,purple_ratio_low,none,
CORD,2h,2026-03-08 13:09:14,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
CORD,3h,2026-03-08 13:09:54,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
CORD,3h,2026-03-08 13:09:54,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CORD,3h,2026-03-08 13:09:54,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
CORD,3h,2026-03-08 13:09:54,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,already_active,none,
CORD,3h,2026-03-08 13:09:54,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
CORD,4h,2026-03-08 13:10:41,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
CORD,4h,2026-03-08 13:10:41,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CORD,4h,2026-03-08 13:10:41,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
CORD,4h,2026-03-08 13:10:41,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,already_active,none,
CORD,4h,2026-03-08 13:10:41,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
CRCD,1h,2026-03-08 13:11:24,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
CRCD,1h,2026-03-08 13:11:24,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,template_miss,shadow,
CRCD,1h,2026-03-08 13:11:24,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
CRCD,1h,2026-03-08 13:11:24,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
CRCD,1h,2026-03-08 13:11:24,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
CRCD,2h,2026-03-08 13:12:19,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
CRCD,2h,2026-03-08 13:12:19,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCD,2h,2026-03-08 13:12:19,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
CRCD,2h,2026-03-08 13:12:19,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,already_active,none,
CRCD,2h,2026-03-08 13:12:19,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
CRCD,3h,2026-03-08 13:13:14,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
CRCD,3h,2026-03-08 13:13:14,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCD,3h,2026-03-08 13:13:14,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
CRCD,3h,2026-03-08 13:13:14,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,already_active,none,
CRCD,3h,2026-03-08 13:13:14,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
CRCD,4h,2026-03-08 13:14:20,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
CRCD,4h,2026-03-08 13:14:20,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCD,4h,2026-03-08 13:14:20,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
CRCD,4h,2026-03-08 13:14:20,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
CRCD,4h,2026-03-08 13:14:20,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
CRCL,1h,2026-03-08 13:15:43,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
CRCL,1h,2026-03-08 13:15:43,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCL,1h,2026-03-08 13:15:43,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
CRCL,1h,2026-03-08 13:15:43,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
CRCL,1h,2026-03-08 13:15:43,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
CRCL,2h,2026-03-08 13:16:50,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
CRCL,2h,2026-03-08 13:16:50,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCL,2h,2026-03-08 13:16:50,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
CRCL,2h,2026-03-08 13:16:50,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
CRCL,2h,2026-03-08 13:16:50,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
CRCL,3h,2026-03-08 13:17:55,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
CRCL,3h,2026-03-08 13:17:55,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCL,3h,2026-03-08 13:17:55,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
CRCL,3h,2026-03-08 13:17:55,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
CRCL,3h,2026-03-08 13:17:55,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
CRCL,4h,2026-03-08 13:18:33,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
CRCL,4h,2026-03-08 13:18:33,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRCL,4h,2026-03-08 13:18:33,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
CRCL,4h,2026-03-08 13:18:33,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,already_active,none,
CRCL,4h,2026-03-08 13:18:33,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
CRDO,1h,2026-03-08 13:19:02,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
CRDO,1h,2026-03-08 13:19:02,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRDO,1h,2026-03-08 13:19:02,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
CRDO,1h,2026-03-08 13:19:02,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
CRDO,1h,2026-03-08 13:19:02,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
CRDO,2h,2026-03-08 13:19:32,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
CRDO,2h,2026-03-08 13:19:32,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRDO,2h,2026-03-08 13:19:32,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
CRDO,2h,2026-03-08 13:19:32,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
CRDO,2h,2026-03-08 13:19:32,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
CRDO,3h,2026-03-08 13:20:41,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
CRDO,3h,2026-03-08 13:20:41,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRDO,3h,2026-03-08 13:20:41,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
CRDO,3h,2026-03-08 13:20:41,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
CRDO,3h,2026-03-08 13:20:41,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
CRDO,4h,2026-03-08 13:21:07,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
CRDO,4h,2026-03-08 13:21:07,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRDO,4h,2026-03-08 13:21:07,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
CRDO,4h,2026-03-08 13:21:07,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
CRDO,4h,2026-03-08 13:21:07,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
CRML,1h,2026-03-08 13:21:24,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
CRML,1h,2026-03-08 13:21:24,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRML,1h,2026-03-08 13:21:24,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
CRML,1h,2026-03-08 13:21:24,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
CRML,1h,2026-03-08 13:21:24,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
CRML,2h,2026-03-08 13:21:44,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
CRML,2h,2026-03-08 13:21:44,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRML,2h,2026-03-08 13:21:44,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
CRML,2h,2026-03-08 13:21:44,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
CRML,2h,2026-03-08 13:21:44,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
CRML,3h,2026-03-08 13:22:04,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
CRML,3h,2026-03-08 13:22:04,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRML,3h,2026-03-08 13:22:04,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
CRML,3h,2026-03-08 13:22:04,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
CRML,3h,2026-03-08 13:22:04,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
CRML,4h,2026-03-08 13:22:57,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
CRML,4h,2026-03-08 13:22:57,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
CRML,4h,2026-03-08 13:22:57,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
CRML,4h,2026-03-08 13:22:57,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
CRML,4h,2026-03-08 13:22:57,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
DJT,1h,2026-03-08 13:23:19,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
DJT,1h,2026-03-08 13:23:19,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DJT,1h,2026-03-08 13:23:19,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
DJT,1h,2026-03-08 13:23:19,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
DJT,1h,2026-03-08 13:23:19,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
DJT,2h,2026-03-08 13:24:43,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
DJT,2h,2026-03-08 13:24:43,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DJT,2h,2026-03-08 13:24:43,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
DJT,2h,2026-03-08 13:24:43,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
DJT,2h,2026-03-08 13:24:43,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
DJT,3h,2026-03-08 13:25:20,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
DJT,3h,2026-03-08 13:25:20,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DJT,3h,2026-03-08 13:25:20,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
DJT,3h,2026-03-08 13:25:20,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
DJT,3h,2026-03-08 13:25:20,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
DJT,4h,2026-03-08 13:26:45,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
DJT,4h,2026-03-08 13:26:45,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DJT,4h,2026-03-08 13:26:45,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
DJT,4h,2026-03-08 13:26:45,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,template_miss,none,
DJT,4h,2026-03-08 13:26:45,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
DPST,1h,2026-03-08 13:27:49,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
DPST,1h,2026-03-08 13:27:49,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,template_miss,shadow,
DPST,1h,2026-03-08 13:27:49,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
DPST,1h,2026-03-08 13:27:49,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
DPST,1h,2026-03-08 13:27:49,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
DPST,2h,2026-03-08 13:28:23,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
DPST,2h,2026-03-08 13:28:23,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DPST,2h,2026-03-08 13:28:23,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
DPST,2h,2026-03-08 13:28:23,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
DPST,2h,2026-03-08 13:28:23,sell_purple_exit,紫色卖出,shadow,no_hit,否,246241,template_miss,shadow,
DPST,3h,2026-03-08 13:28:46,buy_core,笑笑砖策略,live,no_hit,否,164160,pattern_not_met,none,
DPST,3h,2026-03-08 13:28:46,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DPST,3h,2026-03-08 13:28:46,buy_purple_bottom,紫抄,shadow,no_hit,否,164160,template_miss,shadow,
DPST,3h,2026-03-08 13:28:46,sell_purple_cry,紫色哭脸,live,no_hit,否,164160,template_miss,none,
DPST,3h,2026-03-08 13:28:46,sell_purple_exit,紫色卖出,shadow,no_hit,否,164160,template_miss,shadow,
DPST,4h,2026-03-08 13:29:05,buy_core,笑笑砖策略,live,no_hit,否,123120,pattern_not_met,none,
DPST,4h,2026-03-08 13:29:05,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
DPST,4h,2026-03-08 13:29:05,buy_purple_bottom,紫抄,shadow,no_hit,否,123120,template_miss,shadow,
DPST,4h,2026-03-08 13:29:05,sell_purple_cry,紫色哭脸,live,no_hit,否,123120,purple_ratio_low,none,
DPST,4h,2026-03-08 13:29:05,sell_purple_exit,紫色卖出,shadow,no_hit,否,123120,template_miss,shadow,
INTC,1h,2026-03-08 13:29:40,buy_core,笑笑砖策略,live,no_hit,否,492484,pattern_not_met,none,
INTC,1h,2026-03-08 13:29:40,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
INTC,1h,2026-03-08 13:29:40,buy_purple_bottom,紫抄,shadow,no_hit,否,492484,template_miss,shadow,
INTC,1h,2026-03-08 13:29:40,sell_purple_cry,紫色哭脸,live,no_hit,否,492484,template_miss,none,
INTC,1h,2026-03-08 13:29:40,sell_purple_exit,紫色卖出,shadow,no_hit,否,492484,template_miss,shadow,
INTC,2h,2026-03-08 13:30:17,buy_core,笑笑砖策略,live,no_hit,否,246241,pattern_not_met,none,
INTC,2h,2026-03-08 13:30:17,buy_plus_red_diamond,买+红砖石,shadow,no_hit,否,,red_ratio_low,shadow,
INTC,2h,2026-03-08 13:30:17,buy_purple_bottom,紫抄,shadow,no_hit,否,246241,template_miss,shadow,
INTC,2h,2026-03-08 13:30:17,sell_purple_cry,紫色哭脸,live,no_hit,否,246241,template_miss,none,
