session_et_date,run_id,ts_et_start,ts_et_end,planned_rows,scanned_rows,failed_rows,total_tf,tf_results,hits,alerts,error_count,duration_ms
20260308,20260308065941759690,2026-03-08 01:59:41,2026-03-08 04:41:08,33,33,0,132,132,1,0,0,6086535
20260308,20260308085944426541,2026-03-08 04:59:44,2026-03-08 06:48:46,33,33,0,132,132,1,0,0,6541962
20260308,20260308105942472087,2026-03-08 06:59:42,2026-03-08 08:40:45,33,33,0,132,132,1,0,0,6063108
20260308,20260308125941713760,2026-03-08 08:59:41,2026-03-08 10:49:21,33,33,0,132,132,1,0,0,6579616
20260308,20260308145942399206,2026-03-08 10:59:42,2026-03-08 12:49:43,33,33,0,132,132,1,0,0,6600894
20260308,20260308165944361362,2026-03-08 12:59:44,2026-03-08 14:49:08,33,33,0,132,132,1,0,0,6563895
20260308,20260308185944327675,2026-03-08 14:59:44,2026-03-08 16:49:12,33,33,0,132,132,1,0,0,6568283
20260308,20260308205943682338,2026-03-08 16:59:43,2026-03-08 18:50:05,33,33,0,132,132,1,0,0,6622175
